dialogs,Images
   ,
*class going on*, image_1
   ,image_2
*suspense music*,image_3
  ,image_4
   ,image_5
  ,image_6
Death note..,image_7
 A notebook of death.. How to use it..,image_8
"The human whose name is written
 in this shall die?",image_9
   ,image_10
So stupid,image_11
This is so sick.,image_12
It's no different from a chain letter,image_13
"""The human whose name is",image_14
"written in this shall die..?"" C'mon.",image_15
Seriously..,image_16
   ,image_17
something's the matter with me,image_18
   ,image_19
This note will not effect unless the writer,image_20
"has person's face in their mind 
when writing his/her name.",image_21
"Therefore.. People sharing the 
same name will not be affected.",image_22
"If the cause of death is written, 
within 40 seconds of writing, it will happen",image_23
"if the cause is not written, 
person will die of heart - attack",image_24
,image_25
,image_26
,image_27
,image_28
,image_29
,image_30
,image_31
,image_32
,image_33
,image_34
,image_34
,image_36
,image_37
,image_38
,image_39
,image_40
,image_41
,image_42
,image_43
,image_44
,image_45
,image_46
,image_47
,image_48
,image_49
,image_50
,image_51
,image_52
,image_53
,image_54
,image_55
,image_56
,image_57
,image_58
,image_59
,image_60
,image_61
,image_62
,image_63
,image_64
,image_65
