dialogs,Images,Hindi dialogues
   ,,
*Light Yagami in the class*, image_1,*कक्षा में प्रकाश यागामी*
*death note falls from the sky*,image_2,*मौत नोट आसमान से गिरती है*
*suspense music*,image_3,*सस्पेंस संगीत*
  ,image_4,   
   ,image_5,   
  ,image_6,   
Death note?,image_7,डेथ नोट?
 As in a notebook of death?,image_8,मृत्यु की एक नोटबुक में?
Hmm.. How to use it:,image_9,हम्म .. इसका उपयोग कैसे करें:
"The human whose name is written 
 in this book... shall die!!",image_10,"
मानव जिसका नाम लिखा है
 इस किताब में ... मर जाऊंगा !!"
Hmm. It's pretty lame.,image_11,हम्म। यह बहुत बचकाना है।
This is so sick.,image_12,यह बहुत बुरा है।
"It's not that different from 
those chain letters you get.",image_13,"
यह इससे अलग नहीं है
वे श्रृंखला पत्र आपको मिलते हैं।"
"""The human whose name is",image_14,“मानव जिसका नाम है
"written in this shall die..?"" C'mon.",image_15,"इस में लिखा मर जाएगा"" ..?"
Seriously..,image_16,गंभीरता से ..
*Train whistle*,image_17,* ट्रेन सीटी *
There must be something wrong with me,image_18,मेरे साथ कुछ गलत होना चाहिए
to even consider it.,image_19,यहां तक ​​कि इस पर विचार करने के लिए।
This note will not effect unless the writer,image_20,जब तक लेखक पर यह नोट असर नहीं करेगा
"has person's face in their mind 
when writing his/her name.",image_21,"उनके दिमाग में व्यक्ति का चेहरा है
अपना नाम लिखते समय"
"Therefore.. People sharing the
same name will not be affected.",image_22,"इसलिए .. साझा करने वाले लोग
एक ही नाम प्रभावित नहीं होगा।"
"If the cause of death is written,
within 40 seconds of writing, it will happen",image_23,"यदि मृत्यु का कारण लिखा है,
लेखन के 40 सेकंड के भीतर, यह होगा"
"if the cause is not specified, the person 
will simply die of heart - attack",image_24,"यदि कारण निर्दिष्ट नहीं है, तो व्यक्ति
बस दिल का दौरा पड़ने से मर जाएगा"
"After writing the cause of death, details of
the death should be written next 6 mins, 40 secs.",image_25,"मृत्यु का कारण लिखने के बाद, का विवरण
मृत्यु को अगले छह मिनट, चालीस सेकंड लिखा जाना चाहिए।"
"hm, so depending on the person you have in mind
you can either kill them easily or painfully, huh.",image_26,"हम्म, इसलिए उस व्यक्ति के आधार पर जो आपके मन में है
आप या तो उन्हें आसानी से या दर्द से मार सकते हैं, हुह।"
This is pretty detailed for a prank,image_27,यह एक शरारत के लिए काफी विस्तृत है
I'll give them that.,image_28,मैं उन्हें दे दूँगा।
Hmm… ,image_29,हम्म …
So I write a name and that person…dies,image_30,इसलिए मैं एक नाम लिखता हूं और वह व्यक्ति ... मर जाता है
Like anyone would believe that.,image_31,जैसे किसी को विश्वास होगा ।
Ugh!,image_32,ऊह!
  ,image_33,   
   ,image_34,   
   ,image_34,   
   ,image_36,   
   ,image_37,   
"Wait, on the off chance someone really dies,
would that make me a murderer?",image_38,"रुको, बंद मौका पर कोई वास्तव में मर जाता है,
क्या वह मुझे हत्यारा बना देगा?"
"Yeah right, it's completely impossible.",image_39,"हाँ ठीक है, यह पूरी तरह से असंभव है।"
"The same assailant who attacked 6 people 
 yesterday has struck again, taking ",image_40,"वही हमलावर जिसने 6 लोगों पर हमला किया था
 कल फिर मारा है, ले रहा है"
8 people hostage at a daycare center.,image_41,एक डेकेयर सेंटर में 8 लोगों को बंधक बनाया।
His captives include both children and teachers.,image_42,उनके बंदियों में बच्चे और शिक्षक दोनों शामिल हैं।
"The police have now identified the suspect as forty two
year old Kuro Otoharada, currently unemployed..",image_43,"पुलिस ने अब संदिग्ध की पहचान बयालीस के रूप में की है
वर्तमान में बेरोजगार है, इस वर्ष पुराना कुरु ओतोहरदा,"
We expect negotiations to begin immediately.,image_44,हमें उम्मीद है कि वार्ता तुरंत शुरू होगी।
*Light writes the name of the suspect*,image_45,* यागामी ने संदिग्ध का नाम लिखा*
